,Ratio,Amount,LAST
A064960,0.0013210445468509987,19.0,70600.0
A081660,0.004458525345622121,83.0,54000.0
A026960,0.004128264208909371,134.0,30750.0
A004000,0.0023118279569892476,35.0,66300.0
A000210,0.0023118279569892476,28.0,83100.0
A003850,0.0016513056835637484,83.0,19988.0
A042700,0.0023118279569892476,138.0,16800.0
A018260,0.019650537634408605,105.0,187500.0
A028260,0.03632872503840246,254.0,143000.0
A030000,0.003798003072196621,155.0,24500.0
A006800,0.008586789554531491,861.0,9970.0
A175330,0.001981566820276498,257.0,7700.0
A036570,0.025099846390168976,30.0,843000.0
A052690,0.0029723502304147466,52.0,56900.0
A005930,0.07,855.0,81900.0
A071840,0.0013210445468509987,34.0,39400.0
A005440,0.0014861751152073733,202.0,7343.0
A021240,0.007926267281105992,101.0,78700.0
A051900,0.03236559139784947,21.0,1522000.0
A009450,0.0011559139784946238,18.0,64000.0
A069260,0.0011559139784946238,52.0,22200.0
A023590,0.0016513056835637484,59.0,27900.0
A014680,0.003963133640552996,16.0,255000.0
A012750,0.0042933947772657455,52.0,82500.0
A005300,0.001981566820276498,12.0,159500.0
A011780,0.00924731182795699,41.0,223000.0
A138040,0.003302611367127497,183.0,18050.0
A011170,0.012880184331797237,49.0,261939.0
A071050,0.008256528417818742,75.0,110000.0
A185750,0.001981566820276498,17.0,113506.0
A039490,0.0042933947772657455,35.0,123000.0
A035420,0.08091397849462367,223.0,362500.0
A051600,0.002807219662058372,62.0,45600.0
A000660,0.07,549.0,127500.0
A009150,0.017834101382488483,101.0,176000.0
A120110,0.0023118279569892476,37.0,63200.0
A006120,0.0014861751152073733,27.0,55000.0
A012510,0.003302611367127497,41.0,80000.0
A192820,0.0018164362519201233,14.0,130000.0
A086790,0.01915514592933948,408.0,46900.0
A001120,0.0016513056835637484,54.0,30500.0
A033780,0.015852534562211983,187.0,85000.0
A066570,0.03385176651305684,222.0,152500.0
A161890,0.0018164362519201233,30.0,60200.0
A005250,0.0021466973886328728,64.0,33600.0
A111770,0.002807219662058372,62.0,45400.0
A010130,0.011228878648233487,26.0,436000.0
A105630,0.0013210445468509987,55.0,24100.0
A031430,0.0021466973886328728,48.0,45100.0
A214320,0.0018164362519201233,55.0,33000.0
A000100,0.006109831029185869,109.0,55900.0
A033270,0.0011559139784946238,23.0,50300.0
A030200,0.011889400921658987,354.0,33550.0
A010780,0.0024769585253456225,41.0,60600.0
A003550,0.021301843317972354,214.0,99400.0
A112610,0.004623655913978495,58.0,79300.0
A009830,0.011559139784946238,209.0,55330.0
A138930,0.0034677419354838712,436.0,7960.0
A105560,0.03269585253456222,565.0,57900.0
A016360,0.005614439324116744,121.0,46300.0
A001680,0.0013210445468509987,45.0,29050.0
A009240,0.0034677419354838712,32.0,109500.0
A025540,0.0013210445468509987,14.0,96000.0
A086280,0.010072964669738865,102.0,99039.0
A007310,0.0026420890937019974,5.0,545000.0
A001450,0.0029723502304147466,121.0,24500.0
A003540,0.0013210445468509987,71.0,18650.0
A005850,0.0023118279569892476,66.0,34900.0
A003670,0.014861751152073733,105.0,141500.0
A004490,0.001981566820276498,18.0,107500.0
A097950,0.009742703533026115,21.0,473000.0
A023530,0.00478878648233487,38.0,125000.0
A032640,0.009082181259600615,590.0,15400.0
A003090,0.0029723502304147466,79.0,37650.0
A001040,0.004458525345622121,40.0,111500.0
A032830,0.022788018433179725,273.0,83600.0
A047050,0.0034677419354838712,166.0,20950.0
A018880,0.012715053763440863,727.0,17500.0
A049770,0.0011559139784946238,25.0,45944.0
A005830,0.004953917050691245,98.0,50800.0
A161390,0.00924731182795699,169.0,54600.0
A020000,0.0014861751152073733,34.0,44200.0
A000070,0.0013210445468509987,12.0,113000.0
A004370,0.0024769585253456225,8.0,301500.0
A006650,0.0021466973886328728,9.0,250000.0
A010120,0.0024769585253456225,42.0,59000.0
A000880,0.003302611367127497,101.0,32600.0
A055550,0.03005376344086022,703.0,42750.0
A139480,0.006109831029185869,38.0,160000.0
A007070,0.003963133640552996,104.0,38100.0
A139130,0.0021466973886328728,226.0,9510.0
A000240,0.0026420890937019974,126.0,20900.0
A012330,0.03715437788018434,129.0,288000.0
A000270,0.05036482334869432,550.0,91500.0
A069960,0.002807219662058372,31.0,89900.0
A005490,0.040456989247311836,119.0,341000.0
A012630,0.0011559139784946238,82.0,14050.0
A024110,0.011063748079877114,1006.0,11000.0
A005940,0.004953917050691245,380.0,13050.0
A011070,0.0069354838709677425,32.0,213500.0
