ticker,price,change,ret,cap
A005930,58700,400,0.69,3.50E+08
A000660,194000,11800,6.48,1.41E+08
A373220,426000,13500,3.27,9.97E+07
A207940,1017000,19000,1.9,7.24E+07
A005380,216500,3000,1.41,4.53E+07
A068270,187400,6300,3.48,4.07E+07
A000270,97400,3100,3.29,3.89E+07
A105560,90700,-1100,-1.2,3.57E+07
A005490,345000,8000,2.37,2.85E+07
A035420,175700,6000,3.54,2.82E+07
A055550,54500,500,0.93,2.78E+07
A006400,337500,6000,1.81,2.32E+07
A012330,248500,0,0,2.31E+07
A051910,323500,5500,1.73,2.28E+07
A010130,1085000,81000,8.07,2.25E+07
A028260,121300,1900,1.59,2.16E+07
A032830,104000,200,0.19,2.08E+07
A138040,103400,600,0.58,1.97E+07
A003670,241000,13000,5.7,1.87E+07
A086790,60300,-800,-1.31,1.73E+07
A012450,367000,-11500,-3.04,1.67E+07
A035720,37350,1200,3.32,1.66E+07
A000810,343500,-500,-0.15,1.63E+07
A259960,337500,4000,1.2,1.62E+07
A329180,175000,800,0.46,1.55E+07
A066570,92300,1500,1.65,1.51E+07
A015760,23100,50,0.22,1.48E+07
A033780,110800,800,0.73,1.40E+07
A011200,17860,790,4.63,1.34E+07
A034020,20000,20,0.1,1.28E+07
A009540,180700,700,0.39,1.28E+07
A017670,56900,-100,-0.18,1.22E+07
A267260,335500,13000,4.03,1.21E+07
A003550,76800,100,0.13,1.21E+07
A402340,89800,5900,7.03,1.21E+07
A316140,15810,60,0.38,1.17E+07
A024110,14360,0,0,1.15E+07
A096770,121100,-700,-0.57,1.16E+07
A000100,140800,6000,4.45,1.13E+07
A030200,44100,-200,-0.45,1.11E+07
A034730,150100,1100,0.74,1.09E+07
A018260,141000,-1600,-1.12,1.09E+07
A323410,22550,800,3.68,1.08E+07
A326030,122500,8100,7.08,9593373
A047050,53900,3500,6.94,9482238
A042700,95600,2800,3.02,9272591
A086280,121400,-500,-0.41,9105000
A009150,119000,1900,1.62,8888550
A003490,24350,750,3.18,8966173
A450080,123000,10900,9.72,8495684
A042660,27050,250,0.93,8288482
A010140,9540,70,0.74,8395200
A352820,197300,10600,5.68,8217959
A005830,112500,2500,2.27,7965000
A090430,125600,5300,4.41,7346691
A010950,58800,700,1.2,6619868
A064350,61500,0,0,6712251
A267250,72200,-3800,-5,5703301
A047810,57400,-200,-0.35,5595071
A180640,83600,0,0,5581327
A079550,244500,1500,0.62,5379000
A011790,143900,1800,1.27,5449248
A006800,8970,200,2.28,5339988
A051900,338000,6000,1.81,5278951
A034220,10450,100,0.97,5225000
A251270,56200,700,1.26,4830587
A036570,219500,2500,1.15,4818908
A021240,64400,1700,2.71,4752695
A029780,40050,-150,-0.37,4640149
A161390,36650,1450,4.12,4540021
A454910,68900,200,0.29,4466097
A003230,589000,69000,13.27,4436946
A032640,10060,20,0.2,4392310
A010120,149400,6700,4.7,4482000
A022100,29400,1850,6.72,4469821
A005940,13580,110,0.82,4447345
A071050,77700,-200,-0.26,4329910
A302440,53800,1000,1.89,4215084
A128940,335000,28500,9.3,4291682
A097950,278500,5000,1.83,4192591
A066970,112000,-3900,-3.36,4065190
A016360,45850,-100,-0.22,4094405
A011070,175200,1200,0.69,4146477
A010620,103900,-600,-0.57,4149989
A078930,41600,50,0.12,3865280
A011170,92200,-900,-0.97,3943894
A271560,100400,1600,1.62,3969428
A241560,38250,350,0.92,3834531
A009830,22150,650,3.02,3807420
A036460,40500,2750,7.28,3738677
A035250,17640,0,0,3773910
A011780,136200,-1000,-0.73,3722971
A175330,17760,-160,-0.89,3464678
A039490,135300,2500,1.88,3453763
A028050,18000,200,1.12,3528000
A006260,108600,6200,6.05,3496920
A272210,17890,420,2.4,3379768
A377300,24250,450,1.89,3264438
A004020,25350,300,1.2,3382851
A005070,104900,5500,5.53,3410378
A000150,193100,1800,0.94,3190753
A000720,28100,0,0,3129097
A001040,107900,6400,6.31,3148198
A138930,9400,-270,-2.79,3012105
A001450,30750,650,2.16,2749050
A112610,61800,2800,4.75,2606193
A052690,67500,100,0.15,2579850
A088350,2920,-5,-0.17,2536108
A026960,27000,600,2.27,2691900
A008930,38700,2450,6.76,2646753
A001570,43950,150,0.34,2551299
A383220,63900,2400,3.9,2447822
A361610,34400,400,1.18,2452637
A004990,23500,-200,-0.84,2465367
A012750,64700,400,0.62,2458547
A004370,384500,16500,4.48,2338776
A001440,11850,430,3.77,2209401
A489790,43100,50,0.12,2176050
A002380,256500,-3500,-1.35,2279380
A009420,44200,2200,5.24,2309036
A081660,38600,-250,-0.64,2319699
A007070,21700,300,1.4,2272379
A000120,89000,600,0.68,2030299
A000880,27200,-150,-0.55,2038878
A002790,24100,950,4.1,1987242
A018880,3985,-20,-0.5,2127193
A030000,18390,-90,-0.49,2115608
A051600,44500,1050,2.42,2002500
A282330,116600,2600,2.28,2015303
A006280,162500,10300,6.77,1899062
A017800,45500,-400,-0.87,1778704
A023530,64900,-200,-0.31,1835940
A139480,64300,400,0.63,1792415
A069620,155300,500,0.32,1799395
A103140,66000,0,0,1849602
A111770,42150,250,0.6,1867728
A028670,3630,70,1.97,1940487
A000240,17030,0,0,1616747
A007310,418500,11500,2.83,1677277
A204320,36150,-750,-2.03,1697500
A161890,69900,2100,3.1,1649995
A192820,155300,2100,1.37,1762579
A008770,41050,-2550,-5.85,1611135
A000080,20500,-350,-1.68,1437739
A003090,25700,550,2.19,1494249
A004170,152100,2000,1.33,1497452
A047040,3600,60,1.69,1496241
A006360,17700,-120,-0.67,1514792
A014680,125700,3300,2.7,1424834
A014820,49650,-950,-1.88,1439417
A005850,32800,600,1.86,1523511
A009240,52400,500,0.96,1233178
A010060,68800,-200,-0.29,1315962
A042670,6700,20,0.3,1290794
