2021,2022,2023,2024
A005930,A005930,A005930,A005930
A000660,A373220,A373220,A000660
A035420,A000660,A000660,A373220
A051910,A207940,A207940,A005380
A035720,A035420,A006400,A207940
A207940,A051910,A051910,A000270
A005380,A005380,A005380,A068270
A006400,A006400,A000270,A105560
A068270,A035720,A035420,A005490
A000270,A000270,A005490,A035420
A005490,A005490,A003670,A006400
A028260,A105560,A068270,A051910
A012330,A028260,A035720,A028260
A066570,A068270,A247540,A055550
A105560,A055550,A012330,A012330
A096770,A012330,A028260,A003670
A051900,A096770,A066570,A035720
A017670,A323410,A105560,A247540
A055550,A091990,A055550,A086790
A036570,A034730,A096770,A032830
A034730,A066570,A086520,A000810
A032830,A011200,A003550,A066570
A015760,A015760,A032830,A138040
A090430,A086790,A091990,A042700
A011200,A377300,A323410,A034020
A003550,A032830,A015760,A011200
A018260,A010950,A034730,A034730
A086790,A034020,A086790,A015760
A009150,A003550,A352820,A003550
A251270,A017670,A033780,A086520
A033780,A259960,A009150,A018260
A302440,A033780,A017670,A259960
A003670,A018260,A000810,A009150
A010950,A051900,A034020,A329180
A003490,A009150,A329180,A012450
A361610,A010130,A018260,A017670
A009540,A316140,A066970,A033780
A000810,A329180,A010130,A090430
A011170,A003670,A259960,A024110
A352820,A003490,A138040,A323410
A018880,A302440,A316140,A316140
A030200,A036570,A011200,A196170
A034220,A030200,A051900,A402340
A326030,A090430,A010950,A267260
A009830,A352820,A024110,A010130
A010130,A000810,A003490,A096770
A034020,A011070,A030200,A030200
A316140,A361610,A377300,A042660
A024110,A024110,A009830,A009540
A097950,A086280,A011070,A047050
A004020,A009830,A011170,A010140
A086280,A011170,A036570,A352820
A011780,A251270,A009540,A003490
A032640,A326030,A361610,A010950
A002790,A402340,A402340,A028300
A006800,A009540,A086280,A005830
A000720,A034220,A302440,A086280
A035250,A018880,A090430,A326030
A161390,A011790,A326030,A051900
A021240,A035250,A034220,A010120
A267250,A097950,A028050,A000100
A071050,A032640,A241560,A011070
A241560,A088980,A005070,A443060
A011790,A383220,A012450,A348370
A011070,A004020,A005830,A241560
A271560,A010140,A088980,A267250
A008930,A021240,A010140,A011790
A088980,A047810,A047050,A088980
A000100,A068760,A047810,A066970
A139480,A137310,A018880,A006260
A078930,A267250,A271560,A450080
A180640,A011780,A383220,A161390
A004990,A006800,A032640,A022100
A128940,A028050,A251270,A009830
A016360,A000720,A097950,A097950
A010140,A161390,A000100,A251270
A042660,A000060,A028300,A034220
A029780,A005830,A267250,A047810
A006280,A000100,A035900,A005070
A008770,A078930,A006800,A454910
A003410,A138040,A004020,A001570
A000120,A036460,A161390,A011170
A006360,A020150,A000720,A028050
A383220,A008560,A128940,A029780
A028050,A028670,A035250,A003230
A005940,A263750,A011780,A006800
A005830,A003410,A011790,A036570
A010620,A071050,A078930,A180640
A028670,A029780,A021240,A032640
A081660,A293490,A029780,A021240
A047040,A247540,A068760,A377300
A023530,A128940,A307950,A058470
A019170,A028300,A112610,A078930
A047810,A241560,A064350,A307950
A112610,A271560,A293490,A011780
A088350,A180640,A016360,A004020
A001040,A004990,A180640,A005940
A039490,A002790,A005940,A064350
A282330,A307950,A282330,A298040
A004170,A035760,A263750,A302440
A204320,A096530,A008770,A001040
A008560,A016360,A071050,A000720
A012750,A005940,A010620,A068760
A036460,A036490,A004990,A271560
A020150,A010620,A001450,A128940
A307950,A006360,A003410,A071050
A298020,A008930,A048260,A036460
A026960,A139480,A042660,A079550
A007070,A282330,A001570,A403870
A042670,A002380,A004370,A272210
A010060,A000990,A196170,A039490
A285130,A272210,A000990,A000150
A030000,A010060,A272210,A016360
A014680,A008770,A020150,A035250
A336260,A196170,A006260,A003410
A002380,A253450,A014680,A277810
A000080,A047050,A052690,A214150
A009240,A014680,A007070,A001440
A375500,A030000,A008930,A361610
A138930,A000120,A042700,A007660
A138040,A001440,A028670,A001450
A047050,A052690,A001040,A002790
A012510,A012450,A036460,A000250
A012450,A001450,A039490,A010620
A000880,A007070,A041510,A004370
A064350,A023530,A002790,A175330
A017800,A047040,A403870,A278470
A000990,A026960,A139480,A138930
A011210,A012750,A023530,A004990
A006260,A204320,A000880,A263750
A001230,A357780,A006040,A002380
A001450,A000080,A088350,A052690
A000060,A138930,A204320,A018880
A003090,A058470,A138930,A257720
A069960,A145020,A081660,A039030
A052690,A095700,A030000,A357780
A004800,A039490,A214370,A383220
A111770,A336260,A012750,A088350
A007310,A066970,A277810,A145020
A016380,A004170,A058470,A081660
A272210,A240810,A111770,A141080
A051600,A001040,A026960,A012750
A294870,A042660,A005290,A028670
A000240,A112610,A298050,A007070
A010780,A298050,A336260,A000120
A004370,A088350,A253450,A008770
A069620,A336370,A004170,A112610
A120110,A285130,A145720,A005290
A001440,A006280,A086900,A008930
A006650,A032500,A042670,A020150
A010120,A004000,A010120,A030000
A004000,A006260,A108320,A041510
A298050,A093370,A278280,A035900
A031430,A064350,A000120,A014680
A013890,A000880,A002380,A204320
A005250,A111770,A003620,A073240
A042700,A064760,A357780,A282330
A139130,A237690,A137310,A000880
A005850,A069620,A393890,A035760
A336370,A375500,A007310,A192820
A175330,A081660,A006360,A065350
A032350,A108320,A122870,A417200
A185750,A120110,A047040,A010060
A003000,A069960,A001440,A023530
A073240,A005300,A214150,A000990
A001740,A298020,A079550,A026960
A005300,A011210,A267260,A012510
A181710,A004800,A022100,A007310
A000150,A079550,A005420,A078600
A003240,A034230,A365340,A240810
A161890,A098460,A005850,A018670
A248070,A175330,A237690,A237690
A004490,A016380,A035760,A178320
A214320,A009240,A175330,A293490
A000670,A001230,A298020,A009420
A020560,A268600,A011210,A103140
A000210,A078340,A000150,A139480
A192820,A003090,A240810,A298020
A192080,A004370,A112040,A042670
A039130,A278280,A000080,A005850
A023590,A051600,A017800,A051600
A003850,A007310,A016790,A298050
